Date,Total
2020-01-01,20.0
2020-01-02,21.0
2020-01-03,34.0
2020-01-04,41.0
2020-01-05,48.0
2020-01-06,39.0
2020-01-07,25.0
2020-01-08,18.0
2020-01-09,23.0
2020-01-10,13.0
2020-01-11,19.0
2020-01-12,25.0
2020-01-13,25.0
2020-01-14,19.0
2020-01-15,20.0
2020-01-16,21.0
2020-01-17,20.0
2020-01-18,29.0
2020-01-19,23.0
2020-01-20,49.0
2020-01-21,22.0
2020-01-22,35.0
2020-01-23,32.0
2020-01-24,27.0
2020-01-25,26.0
2020-01-26,29.0
2020-01-27,62.0
2020-01-28,57.0
2020-01-29,71.0
2020-01-30,68.0
2020-01-31,80.0
2020-02-01,33.0
2020-02-02,76.0
2020-02-03,41.0
2020-02-04,23.0
2020-02-05,35.0
2020-02-06,10.0
2020-02-07,13.0
2020-02-08,8.0
2020-02-09,17.0
2020-02-10,48.0
2020-02-11,59.0
2020-02-12,26.0
2020-02-13,13.0
2020-02-14,32.0
2020-02-15,84.0
2020-02-16,79.0
2020-02-17,84.0
2020-02-18,61.0
2020-02-19,72.0
2020-02-20,107.0
2020-02-21,70.0
2020-02-22,113.0
2020-02-23,174.0
2020-02-24,295.0
2020-02-25,360.0
2020-02-26,519.0
2020-02-27,637.0
2020-02-28,899.0
2020-02-29,1027.0
2020-03-01,1217.0
2020-03-02,1581.0
2020-03-03,1822.0
2020-03-04,2250.0
2020-03-05,2705.0
2020-03-06,3513.0
2020-03-07,4310.0
2020-03-08,5518.0
2020-03-09,7391.0
2020-03-10,9700.0
2020-03-11,12578.0
2020-03-12,15724.0
2020-03-13,19785.0
2020-03-14,23565.0
2020-03-15,27529.0
2020-03-16,33258.0
2020-03-17,38000.0
2020-03-18,43135.0
2020-03-19,47603.0
2020-03-20,52839.0
2020-03-21,56678.0
2020-03-22,59624.0
2020-03-23,65478.0
2020-03-24,69331.0
2020-03-25,73900.0
2020-03-26,77944.0
2020-03-27,82463.0
2020-03-28,85857.0
2020-03-29,87568.0
2020-03-30,93172.0
2020-03-31,97013.0
2020-04-01,101980.0
2020-04-02,105694.0
2020-04-03,109732.0
2020-04-04,111661.0
2020-04-05,112666.0
2020-04-06,118869.0
2020-04-07,121091.0
2020-04-08,123828.0
2020-04-09,127439.0
2020-04-10,126931.0
2020-04-11,127980.0
2020-04-12,128683.0
2020-04-13,127939.0
2020-04-14,134558.0
2020-04-15,136363.0
2020-04-16,137097.0
2020-04-17,136857.0
2020-04-18,138442.0
2020-04-19,130741.0
2020-04-20,139767.0
2020-04-21,138996.0
2020-04-22,142982.0
2020-04-23,143050.0
2020-04-24,141029.0
2020-04-25,136998.0
2020-04-26,125756.0
2020-04-27,137167.0
2020-04-28,138529.0
2020-04-29,139178.0
2020-04-30,141064.0
2020-05-01,128690.0
2020-05-02,121345.0
2020-05-03,119992.0
2020-05-04,129546.0
2020-05-05,132596.0
2020-05-06,136356.0
2020-05-07,134601.0
2020-05-08,136889.0
2020-05-09,123587.0
2020-05-10,117358.0
2020-05-11,126408.0
2020-05-12,130543.0
2020-05-13,128507.0
2020-05-14,126732.0
2020-05-15,127851.0
2020-05-16,113163.0
2020-05-17,99705.0
2020-05-18,120880.0
2020-05-19,118729.0
2020-05-20,126706.0
2020-05-21,95222.0
2020-05-22,107279.0
2020-05-23,97798.0
2020-05-24,82335.0
2020-05-25,107746.0
2020-05-26,123828.0
2020-05-27,120036.0
2020-05-28,110259.0
2020-05-29,100776.0
2020-05-30,86288.0
2020-05-31,81476.0
2020-06-01,76064.0
2020-06-02,95199.0
2020-06-03,105636.0
2020-06-04,101428.0
2020-06-05,88405.0
2020-06-06,82544.0
2020-06-07,69255.0
2020-06-08,97178.0
2020-06-09,97353.0
2020-06-10,100843.0
2020-06-11,80474.0
2020-06-12,95008.0
2020-06-13,85740.0
2020-06-14,79137.0
2020-06-15,97037.0
2020-06-16,103203.0
2020-06-17,107892.0
2020-06-18,91364.0
2020-06-19,102154.0
2020-06-20,99208.0
2020-06-21,79202.0
2020-06-22,96088.0
2020-06-23,99804.0
2020-06-24,116379.0
2020-06-25,104950.0
2020-06-26,110058.0
2020-06-27,102615.0
2020-06-28,82501.0
2020-06-29,93848.0
2020-06-30,111995.0
2020-07-01,108933.0
2020-07-02,112374.0
2020-07-03,114875.0
2020-07-04,101376.0
2020-07-05,91995.0
2020-07-06,113396.0
2020-07-07,113472.0
2020-07-08,118274.0
2020-07-09,107630.0
2020-07-10,124651.0
2020-07-11,103373.0
2020-07-12,100410.0
2020-07-13,121819.0
2020-07-14,136968.0
2020-07-15,130730.0
2020-07-16,129278.0
2020-07-17,134398.0
2020-07-18,122137.0
2020-07-19,113374.0
2020-07-20,145959.0
2020-07-21,134103.0
2020-07-22,141724.0
2020-07-23,138131.0
2020-07-24,147658.0
2020-07-25,133563.0
2020-07-26,128157.0
2020-07-27,149391.0
2020-07-28,151631.0
2020-07-29,154464.0
2020-07-30,154784.0
2020-07-31,147750.0
2020-08-01,145593.0
2020-08-02,134178.0
2020-08-03,155962.0
2020-08-04,168893.0
2020-08-05,172097.0
2020-08-06,166469.0
2020-08-07,167965.0
2020-08-08,166187.0
2020-08-09,143582.0
2020-08-10,180715.0
2020-08-11,185313.0
2020-08-12,193625.0
2020-08-13,191590.0
2020-08-14,200966.0
2020-08-15,181221.0
2020-08-16,177293.0
2020-08-17,207265.0
2020-08-18,204880.0
2020-08-19,206936.0
2020-08-20,208233.0
2020-08-21,208155.0
2020-08-22,196754.0
2020-08-23,187901.0
2020-08-24,212383.0
2020-08-25,211467.0
2020-08-26,212562.0
2020-08-27,215634.0
2020-08-28,211789.0
2020-08-29,193162.0
2020-08-30,194665.0
2020-08-31,213582.0
2020-09-01,220827.0
2020-09-02,221293.0
2020-09-03,225207.0
2020-09-04,230703.0
2020-09-05,211396.0
2020-09-06,212048.0
2020-09-07,231575.0
2020-09-08,232503.0
2020-09-09,243663.0
2020-09-10,235390.0
2020-09-11,238240.0
2020-09-12,231082.0
2020-09-13,222412.0
2020-09-14,248814.0
2020-09-15,246359.0
2020-09-16,249778.0
2020-09-17,253144.0
2020-09-18,252974.0
2020-09-19,245689.0
2020-09-20,234292.0
2020-09-21,260910.0
2020-09-22,266587.0
2020-09-23,265052.0
2020-09-24,264393.0
2020-09-25,269441.0
2020-09-26,260749.0
2020-09-27,251055.0
2020-09-28,275697.0
2020-09-29,281255.0
2020-09-30,286308.0
2020-10-01,288663.0
2020-10-02,291977.0
2020-10-03,295725.0
2020-10-04,282325.0
2020-10-05,308968.0
2020-10-06,311415.0
2020-10-07,319329.0
2020-10-08,322658.0
2020-10-09,330278.0
2020-10-10,332322.0
2020-10-11,335323.0
2020-10-12,347236.0
2020-10-13,355905.0
2020-10-14,364405.0
2020-10-15,371743.0
2020-10-16,380943.0
2020-10-17,386849.0
2020-10-18,393568.0
2020-10-19,406289.0
2020-10-20,419848.0
2020-10-21,432127.0
2020-10-22,448084.0
2020-10-23,463323.0
2020-10-24,472947.0
2020-10-25,484442.0
2020-10-26,503827.0
2020-10-27,521562.0
2020-10-28,540264.0
2020-10-29,558057.0
2020-10-30,576297.0
2020-10-31,590334.0
2020-11-01,598748.0
2020-11-02,624006.0
2020-11-03,643184.0
2020-11-04,662275.0
2020-11-05,681732.0
2020-11-06,700683.0
2020-11-07,714551.0
2020-11-08,720503.0
2020-11-09,747867.0
2020-11-10,766998.0
2020-11-11,786983.0
2020-11-12,807660.0
2020-11-13,827870.0
2020-11-14,841776.0
2020-11-15,846559.0
2020-11-16,874374.0
2020-11-17,893866.0
2020-11-18,914558.0
2020-11-19,934914.0
2020-11-20,954967.0
2020-11-21,965396.0
2020-11-22,967452.0
2020-11-23,998321.0
2020-11-24,1016962.0
2020-11-25,1036380.0
2020-11-26,1055029.0
2020-11-27,1075067.0
2020-11-28,1089196.0
2020-11-29,1086015.0
2020-11-30,1120603.0
2020-12-01,1140188.0
2020-12-02,1160148.0
2020-12-03,1183579.0
2020-12-04,1205668.0
2020-12-05,1223710.0
2020-12-06,1223923.0
2020-12-07,1262097.0
2020-12-08,1287632.0
2020-12-09,1313596.0
2020-12-10,1339321.0
2020-12-11,1366638.0
2020-12-12,1381836.0
2020-12-13,1386309.0
2020-12-14,1429499.0
2020-12-15,1455648.0
2020-12-16,1483784.0
2020-12-17,1511402.0
2020-12-18,1538180.0
2020-12-19,1560392.0
2020-12-20,1567539.0
2020-12-21,1598868.0
2020-12-22,1624725.0
2020-12-23,1650183.0
2020-12-24,1665555.0
2020-12-25,1675613.0
2020-12-26,1698822.0
2020-12-27,1710260.0
2020-12-28,1735725.0
2020-12-29,1757763.0
2020-12-30,1779887.0
2020-12-31,1798251.0
2021-01-01,1800196.0
2021-01-02,1822435.0
2021-01-03,1829066.0
2021-01-04,1860035.0
2021-01-05,1881897.0
2021-01-06,1898547.0
2021-01-07,1923250.0
2021-01-08,1943466.0
2021-01-09,1958613.0
2021-01-10,1962146.0
2021-01-11,1983498.0
2021-01-12,2004894.0
2021-01-13,2023996.0
2021-01-14,2040991.0
2021-01-15,2056818.0
2021-01-16,2064346.0
2021-01-17,2067102.0
2021-01-18,2094146.0
2021-01-19,2109916.0
2021-01-20,2125397.0
2021-01-21,2140124.0
2021-01-22,2151207.0
2021-01-23,2164160.0
2021-01-24,2161882.0
2021-01-25,2182689.0
2021-01-26,2196353.0
2021-01-27,2209035.0
2021-01-28,2219975.0
2021-01-29,2231311.0
2021-01-30,2240558.0
2021-01-31,2231657.0
2021-02-01,2254948.0
2021-02-02,2267306.0
2021-02-03,2277191.0
2021-02-04,2287611.0
2021-02-05,2288457.0
2021-02-06,2293896.0
2021-02-07,2283141.0
2021-02-08,2300035.0
2021-02-09,2321257.0
2021-02-10,2329117.0
2021-02-11,2332424.0
2021-02-12,2338888.0
2021-02-13,2339832.0
2021-02-14,2328085.0
2021-02-15,2362796.0
2021-02-16,2370131.0
2021-02-17,2381805.0
2021-02-18,2389800.0
2021-02-19,2397507.0
2021-02-20,2401057.0
2021-02-21,2393752.0
2021-02-22,2406514.0
2021-02-23,2425373.0
2021-02-24,2427733.0
2021-02-25,2442457.0
2021-02-26,2454597.0
2021-02-27,2457814.0
2021-02-28,2445355.0
2021-03-01,2476503.0
2021-03-02,2485431.0
2021-03-03,2496407.0
2021-03-04,2509433.0
2021-03-05,2516754.0
2021-03-06,2518230.0
2021-03-07,2511030.0
2021-03-08,2538131.0
2021-03-09,2549312.0
2021-03-10,2568395.0
2021-03-11,2578981.0
2021-03-12,2590652.0
2021-03-13,2601579.0
2021-03-14,2593391.0
2021-03-15,2626502.0
2021-03-16,2640418.0
2021-03-17,2658198.0
2021-03-18,2671453.0
2021-03-19,2688702.0
2021-03-20,2697453.0
2021-03-21,2697636.0
2021-03-22,2722218.0
2021-03-23,2747814.0
2021-03-24,2766908.0
2021-03-25,2786341.0
2021-03-26,2804822.0
2021-03-27,2820715.0
2021-03-28,2812708.0
2021-03-29,2841919.0
2021-03-30,2865537.0
2021-03-31,2885220.0
2021-04-01,2904440.0
2021-04-02,2913138.0
2021-04-03,2929244.0
2021-04-04,2930703.0
2021-04-05,2944609.0
2021-04-06,2973722.0
2021-04-07,2994172.0
2021-04-08,3015679.0
2021-04-09,3037978.0
2021-04-10,3056649.0
2021-04-11,3067570.0
2021-04-12,3084218.0
2021-04-13,3109457.0
2021-04-14,3132616.0
2021-04-15,3153773.0
2021-04-16,3169326.0
2021-04-17,3192281.0
2021-04-18,3206443.0
2021-04-19,3225422.0
2021-04-20,3254582.0
2021-04-21,3276690.0
2021-04-22,3300151.0
2021-04-23,3321177.0
2021-04-24,3333234.0
2021-04-25,3346410.0
2021-04-26,3365358.0
2021-04-27,3387905.0
2021-04-28,3408230.0
2021-04-29,3425823.0
2021-04-30,3443027.0
2021-05-01,3449998.0
2021-05-02,3450626.0
2021-05-03,3480858.0
2021-05-04,3496313.0
2021-05-05,3516079.0
2021-05-06,3528095.0
2021-05-07,3541172.0
2021-05-08,3551815.0
2021-05-09,3539218.0
2021-05-10,3570196.0
2021-05-11,3582536.0
2021-05-12,3596065.0
2021-05-13,3588146.0
2021-05-14,3588513.0
2021-05-15,3595493.0
2021-05-16,3573828.0
2021-05-17,3621970.0
2021-05-18,3636805.0
2021-05-19,3636360.0
2021-05-20,3634472.0
2021-05-21,3634272.0
2021-05-22,3615669.0
2021-05-23,3532056.0
2021-05-24,3576922.0
2021-05-25,3616500.0
2021-05-26,3631022.0
2021-05-27,3607991.0
2021-05-28,3628020.0
2021-05-29,3594660.0
2021-05-30,3464713.0
2021-05-31,3515302.0
2021-06-01,3613809.0
2021-06-02,3579243.0
2021-06-03,3515739.0
2021-06-04,3543213.0
2021-06-05,3478553.0
2021-06-06,3237294.0
2021-06-07,3396409.0
2021-06-08,3540015.0
2021-06-09,3408697.0
2021-06-10,3413243.0
2021-06-11,3306291.0
2021-06-12,3085338.0
2021-06-13,2920627.0
2021-06-14,3194689.0
2021-06-15,3176670.0
2021-06-16,3056674.0
2021-06-17,3073245.0
2021-06-18,2902759.0
2021-06-19,2770813.0
2021-06-20,2625223.0
2021-06-21,2908557.0
2021-06-22,3009172.0
2021-06-23,2846953.0
2021-06-24,2765516.0
2021-06-25,2695296.0
2021-06-26,2612707.0
2021-06-27,2447434.0
2021-06-28,2696279.0
2021-06-29,2675161.0
2021-06-30,2886705.0
2021-07-01,2778895.0
2021-07-02,2669318.0
2021-07-03,2597045.0
2021-07-04,2585901.0
2021-07-05,2904349.0
2021-07-06,2967898.0
2021-07-07,3044334.0
2021-07-08,3023374.0
2021-07-09,3071179.0
2021-07-10,3004394.0
2021-07-11,2946196.0
2021-07-12,3185971.0
2021-07-13,3268939.0
2021-07-14,3203895.0
2021-07-15,3068854.0
2021-07-16,3296926.0
2021-07-17,3219433.0
2021-07-18,3031304.0
2021-07-19,3365925.0
2021-07-20,3329371.0
2021-07-21,3414517.0
2021-07-22,3338752.0
2021-07-23,3449051.0
2021-07-24,3282150.0
2021-07-25,3202811.0
2021-07-26,3442579.0
2021-07-27,3467137.0
2021-07-28,3479815.0
2021-07-29,3369901.0
2021-07-30,3525489.0
2021-07-31,3523251.0
2021-08-01,3358590.0
2021-08-02,3577360.0
2021-08-03,3601916.0
2021-08-04,3644367.0
2021-08-05,3603572.0
2021-08-06,3656446.0
2021-08-07,3622642.0
2021-08-08,3497472.0
2021-08-09,3661665.0
2021-08-10,3744088.0
2021-08-11,3741113.0
2021-08-12,3766597.0
2021-08-13,3765570.0
2021-08-14,3723183.0
2021-08-15,3635470.0
2021-08-16,3749541.0
2021-08-17,3801977.0
2021-08-18,3842132.0
2021-08-19,3821038.0
2021-08-20,3853072.0
2021-08-21,3839391.0
2021-08-22,3790427.0
2021-08-23,3888310.0
2021-08-24,3912464.0
2021-08-25,3918186.0
2021-08-26,3918012.0
2021-08-27,3939468.0
2021-08-28,3932926.0
2021-08-29,3857180.0
2021-08-30,3987420.0
2021-08-31,3985098.0
2021-09-01,4007753.0
2021-09-02,4012129.0
2021-09-03,4022783.0
2021-09-04,4010739.0
2021-09-05,4007004.0
2021-09-06,4055395.0
2021-09-07,4057853.0
2021-09-08,4085518.0
